cars_passed,lanes_crossed,max_speed,avg_speed,closest_same_lane,closest_any,crashed
3,6,29.998416078153113,24.145706558588525,31.472060248141492,7.382686747370495,0
4,12,29.883981263196887,21.967799350410044,10.342870587230793,8.074966212664236,0
0,40,26.600962686434933,21.992679452484122,10.026033820095059,10.026033820095059,0
0,33,25.0,20.709521089624488,17.104586610804947,6.492725931926246,0
2,41,29.997470612122406,22.795603689452186,6.955976816127066,6.1833970838993,0
2,11,29.762017665627507,21.901347347094237,9.594703794476278,4.073083996163973,0
7,1,29.999327460449084,26.39742535539398,19.559875604442745,1.9999792109149013,0
3,35,29.987002008237496,23.90728477551998,8.129531733325688,6.000000000144391,0
3,21,29.999815623069964,23.585241374966078,10.188906716053895,1.9989249197425112,0
2,3,29.9899473653177,22.992475698067846,5.484851522795568,4.942619297809898,0
5,13,29.917014508581374,24.349432538817574,5.407418715124205,1.9999992685993946,0
4,12,29.89214095341888,23.461183039649665,3.145122606591814,3.103757330801265,0
0,39,25.0,21.707456187047303,8.664203340369863,8.664203340369863,0
2,5,29.95745110915803,22.09897923535532,9.146804719735217,2.000000000000001,0
5,2,29.99999018365551,24.947931800838052,18.26226473907342,1.9999999999999973,0
5,6,29.99641880925432,24.615744695535643,29.279609657290756,1.9999999999016662,0
3,37,29.995160528080664,23.005984977111034,4.900070699322581,4.900070699322581,0
3,16,29.882770543335955,23.3867130350309,8.205245705051826,2.015870032734969,0
3,4,29.696157184919485,22.18363934772972,16.99269602351592,9.752208279355408,0
2,3,29.97170379123158,21.736011271050835,11.628564801738804,2.1020567872519598,0
1,2,27.272812752212587,20.974421867077325,9.354106628226212,1.9999999999999893,0
4,7,29.998731229129938,23.656541072134857,4.969508503606071,1.9917848489608998,0
0,33,28.29499926174351,21.717449834035996,10.128866024105506,9.970168727965033,0
3,4,29.999101398618045,22.5307132578058,1.8167217325642004,1.8167217325642004,0
2,8,29.99820857217333,22.133362264428317,9.506097642916684,5.99915179234598,0
0,33,25.0,21.5704151964862,5.542158675075058,5.542158675075058,0
2,43,29.66398331951696,22.424193814509046,4.4388103912074275,4.208564175657482,0
6,7,29.99996132995431,25.482098146502132,0.14636638241019653,0.14636638241019653,0
3,12,29.960047462490476,23.22607685877877,5.8238667154339145,2.0140437036805423,0
4,3,29.985806287071846,22.64910672894154,31.78482979797036,15.500406046680832,0
1,11,29.404732968642424,21.97079427041446,4.906617001997864,2.0088811423779838,0
7,4,29.999999096149573,26.177896028248064,15.504011616262257,1.9999999998871307,0
2,13,29.36893614949757,23.24085823170242,1.7198718535567723,1.6262378997856608,1
0,44,25.0,21.570441110750508,9.024314368224749,9.024314368224749,0
3,1,29.890989274864143,23.02740199873977,26.52991684552387,1.999999999974492,0
3,32,29.841215231409954,23.803300379843765,0.3003395151645081,0.3003395151645081,1
2,16,29.983525452426612,22.035353654372706,13.397925274718723,1.9999999429231452,0
2,2,25.200813315247192,20.345282794229643,53.50769925138272,6.50212724512257,0
2,47,29.99913750908423,23.452774023586315,4.205466702049946,3.5366316675457234,0
8,5,29.999773912909262,26.199009462466023,11.230292195680331,2.0000000003268994,0
2,9,29.762759547752296,21.23932204915536,1.0202803885509724,1.0202803885509724,0
1,38,29.96165119900471,22.232689159319893,9.581075771618186,8.263564379327867,0
3,4,29.91619182303818,21.338660277673352,9.99396043354348,9.596857107717488,0
1,24,29.99657203437511,21.80223639725761,14.133571384455017,4.74601061868937,0
0,34,25.0,21.91499977972089,14.034046986210488,13.291362449991668,0
3,4,29.841215233230315,22.96117555954368,6.612717419115197,1.9999966865060794,0
2,7,29.97995933473624,24.379268608256456,8.841719871781628,3.0580047170886475,1
2,38,29.960047462490476,22.616348941651257,8.852648909112483,8.852648909112483,0
4,2,29.816134167019364,23.755878820680717,15.370274134255144,1.9999999999129425,0
1,52,29.36893614949757,21.874529939523075,7.832822495131985,6.659428831574004,0
0,34,29.394267667277077,22.137957285748623,9.896548867812196,9.524478291327274,0
2,6,28.664900120104335,22.133361203336147,7.523198716310599,2.145550588697102,0
4,42,29.999998720439393,24.229391987078234,12.059598774952217,1.999319525062555,0
0,47,25.0,22.23269743837276,17.101860393616455,15.97373237505302,0
2,12,29.979708810434257,23.157259166678244,5.8602542689582355,5.8602542689582355,0
3,22,29.986506574551427,23.02721166704998,10.393107132209254,5.999992610836002,0
2,21,29.998208514800208,24.110380124588673,19.796157904179495,10.000000000000016,0
3,15,29.98637602328807,22.94140640163862,5.3656878675529835,1.9992864853463481,0
1,12,29.69615718747167,21.006865230184747,39.51423750728203,6.50586513922869,0
3,1,25.0,21.272435112110436,51.39653906149867,9.144599058676242,0
0,24,25.200700542120288,21.660895927300928,10.11120247502792,9.830707802263413,0
1,18,29.99984629273303,22.497581096627883,13.663467436203147,2.0000000000009184,0
2,28,29.957736179371864,23.344373424859,5.417011197010811,5.417011197010811,0
3,21,29.996428657107995,23.79505224969881,4.396424987628025,2.614140200370891,0
2,33,29.982017341220903,23.722547419558385,5.672836730586534,5.053021291710001,0
2,19,29.171165426724787,22.714707569011956,5.335129077088528,5.335129077088528,0
2,2,29.9975721417051,22.88059300667559,15.38658004721519,15.38658004721519,0
1,30,29.68345091009639,22.62302553235035,9.480260084416702,8.276458768549608,0
0,22,29.9699396530294,22.112116516360324,16.829199979473657,9.673737892460402,0
4,13,29.985432211944726,24.52521894985256,12.17442501414533,6.000000000000011,0
1,11,28.2696488000839,21.16611193788744,4.937953960452578,4.8117487900919365,0
3,5,29.986377829087978,22.889813556953126,11.904426871228239,6.000000020687185,0
3,8,29.892055474556688,22.13335141359578,23.293442693972207,13.004531366022034,0
0,45,27.491940873719926,21.900937008697646,4.052079290183581,4.032120307870363,0
3,29,29.985806287071846,23.843605209523187,8.653641936081588,6.000000068632742,0
3,3,29.994644409562408,22.48094402511324,16.765144837372745,6.419965079374736,0
0,35,29.144901704523416,21.669786105364377,6.20571982694143,4.818987117244804,0
2,5,29.92035168331781,22.89036076052882,10.449193991496822,9.999798755171607,0
4,2,29.99381049129869,23.067046293533217,27.052744456768323,1.9997682553948457,0
0,42,25.0,22.251676015266764,15.533117357937906,14.971154591503815,0
3,28,29.999389116064428,23.682542511851803,6.035038132947805,6.000000023904825,0
1,29,29.998782205332084,23.5124624787384,2.142532790353087,2.142532790353087,1
0,21,28.295036580746753,21.734788225152013,12.96796799523898,11.551192354199786,0
4,10,29.999999771976153,23.679100935104255,13.397165455254692,2.0,0
4,24,29.998782158005397,22.724621903055215,8.265423521753787,8.112103360802871,0
7,9,29.999265166810794,25.50095600715075,0.6767575777022792,0.6767575777022792,1
1,3,29.21020827301782,22.000911478197853,23.63229183562764,13.371122335276757,0
1,40,25.0,21.368168621400333,5.560105105155021,5.560105105155021,0
4,14,29.993486302028764,23.927806861777594,8.397444362345569,1.9994805076123678,0
2,42,29.985806287071846,24.318785481570075,6.152441592504435,5.956934254564555,0
5,1,29.960047462490476,23.531339617825996,33.655413084408224,2.0260868807614445,0
0,33,25.0,22.1523989463869,13.107564233813395,11.18673394187891,0
0,45,25.0,22.232659349254657,15.494586880557911,15.466926912687866,0
4,9,29.91705848703688,23.197923439232067,20.859548849107465,7.4835378588833805,0
0,13,25.201695233129747,20.64329603926118,4.66450548637232,4.66450548637232,0
1,26,29.887541388111092,21.700787335023023,13.458424867160169,5.942681002341986,0
1,13,29.440593194751326,21.504340288401984,3.3762022193083707,3.3762022193083707,0
2,5,29.68345091009639,22.16392280335021,6.579319641716489,6.579319641716489,0
3,14,29.973420556756373,23.95455069707856,14.44309254218234,1.9999775747930673,0
1,0,29.99481356163343,22.59682858777618,48.61633676912106,6.6802655910632245,0
1,16,25.665355697817102,22.19958651539879,13.375702417022284,13.289269653415424,0
0,18,26.43047592207194,21.933435103246307,7.127465098671337,7.127465098671337,0
2,23,29.99820857217333,24.01127158034222,17.633811710958916,6.0731652751793455,0
3,16,29.96344824772692,22.13156553194539,5.583423088594029,5.583423088594029,0
3,20,29.999959707702658,23.192964752285924,10.213331605861699,2.000001310083533,0
1,16,29.96165117098543,22.68257350999145,5.995362224912793,5.995362224912793,0
4,15,29.99999983850311,23.98112317372934,6.02511336620578,2.0,0
1,4,25.0,20.11349471475945,17.708674478152865,1.9999999999855258,0
10,10,29.999959127733536,27.405157969819665,11.463007978484823,1.999999941160639,0
2,4,29.999919674347154,22.33203776111706,15.479739462897745,2.0,0
0,5,25.0,21.4181531200375,20.64171229717311,8.415865838550447,0
1,7,27.33838037168631,21.366960762520815,9.192610287066326,4.76983267208299,0
0,30,29.709760244408567,23.08140016073097,6.429813418049959,3.105501066021688,0
1,52,29.59109631925888,22.06711670189158,11.644816790113474,7.616396177603375,0
2,16,29.84208306554494,22.53071301564801,9.02342173942776,8.96758988794248,0
3,13,29.577193147659386,23.319508029110825,3.562170668284784,3.562170668284784,0
0,2,25.405562724128902,21.155286590124618,10.73132343379068,0.11698087070851848,1
3,9,29.68345091009639,22.133362264427987,7.769543674266595,1.9990924077524816,0
1,20,29.80080360436636,22.56284059689927,12.771738707333192,5.999977446823025,0
0,10,25.0,20.123155456590318,15.661041726538839,14.88659051744682,0
0,17,25.0,20.643213662747588,28.884013566000117,14.75813305193584,0
2,15,29.94542699736669,22.536779024432786,14.737647247770001,2.0,0
3,44,29.98591829669335,22.00091193330249,13.539290059567954,13.008551799984685,0
1,36,25.0,21.71660524521524,9.467880863630675,2.0,0
3,3,29.91556609993865,22.89915382690185,6.180447792226793,2.068167314560612,0
5,8,29.99025591664484,23.82227147418754,5.710075146196771,2.0,0
1,28,29.98096020688108,22.820871985268198,8.69556376851037,8.63076250272946,0
4,10,29.993486302028764,23.6662018093517,7.326534860293536,2.0000000000000107,0
4,7,29.941153919945574,23.323546815097327,18.41806546528278,8.57947580494012,0
0,21,25.526913032980765,21.206377252785007,27.918905330903378,13.893547776792587,0
0,22,29.36893614949757,22.2326996878512,10.340653078542774,9.243833425302263,0
6,8,29.999999383921054,24.97763220620175,3.9319640148251582,1.9999999999301004,0
3,2,29.887541388111092,20.9901509462693,84.14335938957416,1.9739357595259848,0
3,3,29.99820857217333,23.793063459897283,9.842308469258338,1.9998470736991156,0
5,2,29.999971459851213,24.087004648073147,19.0516829470924,1.9999998333037565,0
2,8,29.99621787497192,22.689304481553826,14.73499246768218,2.0,0
6,9,29.99999491459754,26.13933802226469,19.061446559586667,1.9999951040241122,0
2,5,29.998151868798676,22.2320319370746,29.563339742943946,10.133757205370229,0
1,33,29.784861496683774,23.060503857378794,3.583733587836772,2.757781085272314,0
1,18,25.0,21.93213411713318,7.88338037376074,7.87560969872519,0
1,26,25.0,21.490066340589962,3.9384181412765287,3.641649495827742,0
3,24,29.999335032686194,22.530609029176393,4.06840001405275,1.0950659933324696,0
5,21,29.993166060690342,24.17693034965559,3.2835696339366636,2.011888564979963,0
0,10,28.682068435276186,20.742633787607126,20.685954348421536,9.723922522844342,0
0,24,28.793325474850594,21.07373444861825,14.434828498042009,8.477059003068598,0
1,47,29.39426704197165,22.346574432383505,6.324048140308202,6.324048140308202,0
1,47,29.99515988623886,22.596776386002453,2.333046776588676,2.333046776588676,0
2,3,29.943589430424648,22.736505191654327,11.768358701865235,2.002436917880087,0
4,0,29.943589430424648,21.404885443236264,38.06314840062208,8.567244023081603,0
5,7,29.997470612122406,23.295661201600158,5.1678789839459975,5.1678789839459975,0
2,17,29.7758055009339,22.68076088386651,2.605154240046645,2.605154240046645,0
3,13,25.0,22.019970440587215,12.038702260149575,12.038702260149575,0
3,0,29.678233007064293,21.816773107913974,21.335505735092454,6.090864930172305,0
3,15,29.923553743423177,22.54932383772032,3.4369105663572754,3.4369105663572754,0
2,24,28.875410255677913,22.515856986892725,9.309519102403373,5.999884595419776,0
5,41,29.99994310971007,24.16263903316551,6.194625054888198,6.194625054888198,0
1,10,25.0,21.23932252932898,7.428319416881796,7.428319416881796,0
3,19,29.985806287071846,22.987513503986992,4.068173632175566,3.087643145579448,0
2,30,29.945853749592004,22.684671838990518,10.932608586270248,2.7828117448929834,0
0,51,25.0,21.272435054208078,4.4142610922829135,4.4142610922829135,0
0,24,25.0,20.9933811183409,5.911596413073539,5.716728217606225,0
0,14,28.683204248143625,21.528594235982982,12.908796147761528,12.533288469488292,0
2,3,29.841215233230315,21.736011271050828,9.568988672031482,2.0072199947906473,0
2,30,29.94437337105732,22.904256767151765,3.425493703443333,3.425493703443333,0
6,2,29.7758055009339,24.4181057671971,9.32745233297393,1.9967684484779795,0
1,8,26.40489218599991,22.133159291118957,7.263666692527079,4.804144351284436,0
3,13,29.999971463157824,23.292302661759027,8.251843252195503,2.2761430337489768,0
1,16,29.88731528959707,22.410319829757537,11.90279152590651,6.391921179822829,0
2,17,29.99968075894931,24.218548099290558,13.206083510224746,6.084720133298214,0
5,6,29.999992819718916,25.516913815369655,11.435863154138726,2.0000000000002105,0
5,9,29.99984629275359,22.95996038930293,6.700734992557793,6.700734992557793,0
3,7,29.961652062792442,22.29892096067271,7.527940344093073,7.527940344093073,0
5,5,29.978800204223116,24.616805861591324,5.085449261011164,1.9999510972885735,0
5,21,29.99412451082222,24.096665390309134,5.178811993528018,2.0,0
